startTime,endTime,day_night_max_duration,day_night_avg_duration,day_max_duration,day_avg_duration,night_max_duration,night_avg_duration,day_trip_count,night_trip_count,all_trip_count,Motion-Toilet,Motion-Sink,Motion-Area,Wake-Up-Hr,Wake-Up-Minute,Sleep-Hr,Sleep-Minute,Date,UTILabel
2017-09-01 01:40:48.037995,2017-09-01 21:51:55.596239,2.1,2.1,2.1,2.1,,,1,0,1,4,5,0,1,42,21,56,2017-09-01,0
2017-09-02 08:29:16.823338,2017-09-02 22:08:01.071022,1.1666666666666667,0.8055555555555557,1.1666666666666667,0.8055555555555557,,,3,0,3,1,12,0,8,30,22,12,2017-09-02,0
2017-09-03 06:51:13.073273,2017-09-03 21:13:42.906603,,,,,,,0,0,0,0,0,0,8,5,21,0,2017-09-03,0
2017-09-04 05:29:47.091418,2017-09-04 21:19:50.610450,,,,,,,0,0,0,0,0,0,5,30,21,0,2017-09-04,0
2017-09-05 08:17:42.516037,2017-09-05 22:21:12.784262,2.6166666666666667,1.4833333333333334,2.6166666666666667,1.4833333333333334,,,2,0,2,3,22,0,8,18,21,0,2017-09-05,0
2017-09-06 06:14:09.944176,2017-09-06 21:58:48.751038,1.4,1.4,1.4,1.4,,,1,0,1,0,13,0,6,15,21,0,2017-09-06,0
2017-09-07 07:39:15.400630,2017-09-07 22:19:07.598783,10.05,6.316666666666667,10.05,6.316666666666667,,,2,0,2,4,18,0,7,40,22,23,2017-09-07,0
2017-09-08 07:55:33.026772,2017-09-08 21:24:37.023266,5.416666666666667,2.95,5.416666666666667,2.95,,,2,0,2,4,3,0,7,56,21,0,2017-09-08,0
2017-09-09 02:16:25.574762,2017-09-09 21:04:05.865581,15.15,6.8100000000000005,15.15,6.8100000000000005,,,5,0,5,49,9,0,8,28,21,0,2017-09-09,0
2017-09-10 07:40:08.397943,2017-09-10 22:14:34.347265,0.6333333333333333,0.5166666666666666,,,0.6333333333333333,0.5166666666666666,0,2,2,0,1,0,7,41,21,0,2017-09-10,0
